MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,BOROUGH_ID,BoroCD
2014 / 09,Bronx,06,2131.22,114.9,143.51,2,206
2014 / 09,Staten Island,02,4262.39,540.41,454.47,5,502
2014 / 09,Brooklyn,15,4571.29,596.51,389.85,3,315
2014 / 09,Manhattan,10,2804.51,231.36,180.28,1,110
2014 / 09,Queens,13,5438.24,510.65,573.33,4,413
2014 / 09,Brooklyn,08,2720.42,248.9,222.92,3,308
2014 / 09,Manhattan,06,2954.79,476.98,334.26,1,106
2014 / 09,Manhattan,05,1313.04,256.09,155.5,1,105
2014 / 09,Manhattan,01,1337.35,345.28,189.28,1,101
2014 / 09,Bronx,05,3518.76,186.34,252.75,2,205
2014 / 09,Manhattan,08,5478.29,1132.26,645.03,1,108
2014 / 09,Queens,01,4126.36,556.33,502.17,4,401
2014 / 09,Queens,02,2849.88,393.14,285.98,4,402
2014 / 09,Brooklyn,12,6302.57,715.05,353.75,3,312
2014 / 09,Brooklyn,10,3324.67,529.58,356.12,3,310
2014 / 09,Brooklyn,01,5177.4,499.95,365.74,3,301
2014 / 09,Manhattan,11,2213.2,193.08,145.08,1,111
2014 / 09,Manhattan,02,2031.92,429.33,282.99,1,102
2014 / 09,Brooklyn,09,3146.66,223.29,169.35,3,309
2014 / 09,Brooklyn,05,4373.86,232.04,290.76,3,305
2014 / 09,Staten Island,01,5188.18,597.05,569.55,5,501
2014 / 09,Queens,14,3313.86,220.86,164.56,4,414
2014 / 09,Queens,08,3818.14,474.9,307.12,4,408
2014 / 09,Queens,07,6666.0,822.47,559.82,4,407
2014 / 09,Queens,12,6649.18,456.43,578.75,4,412
2014 / 09,Manhattan,04,2320.86,420.28,302.43,1,104
2014 / 09,Brooklyn,07,3279.09,429.14,338.98,3,307
2014 / 09,Brooklyn,18,5529.35,567.5,465.78,3,318
2014 / 09,Brooklyn,03,4066.46,286.16,240.58,3,303
2014 / 09,Manhattan,07,5274.61,1068.15,638.76,1,107
